StudentID,StudyHours,Attendance,PrevMarks,Marks,Branch,Result
S1000,5.08,82.32,65.44,82.46,ISE,Pass
S1001,6.16,68.27,82.55,79.14,CSD,Pass
S1002,5.42,98.16,67.71,76.89,CSE,Pass
S1003,2.93,79.5,68.25,62.16,ISE,Fail
S1004,8.01,93.33,60.55,86.49,ISE,Pass
S1005,7.15,78.88,65.15,83.57,CSD,Pass
S1006,7.24,100.0,70.62,91.56,CSE,Pass
S1007,3.5,100.0,40.35,63.71,CSE,Fail
S1008,8.59,74.76,45.78,81.96,ISE,Pass
S1009,2.42,90.63,77.15,78.22,AIML,Pass
S1010,6.79,86.39,68.56,91.43,ISE,Pass
S1011,10.32,95.79,63.24,100.0,ISE,Pass
S1012,3.32,65.46,66.28,62.04,ISE,Fail
S1013,4.25,86.92,71.21,73.45,ISE,Pass
S1014,5.72,91.76,57.9,80.52,CSD,Pass
S1015,4.39,55.14,54.33,55.72,CSE,Fail
S1016,2.09,62.62,68.94,55.19,CSD,Fail
S1017,5.65,51.49,51.32,56.09,CSD,Fail
S1018,3.16,74.5,72.12,66.99,CSD,Fail
S1019,6.54,87.33,40.46,79.06,ISE,Pass
S1020,3.48,97.53,81.44,72.43,AIML,Fail
S1021,8.91,78.96,73.09,98.48,CSE,Pass
S1022,3.78,99.17,69.84,67.88,AIML,Fail
S1023,4.79,60.06,80.74,62.38,CSD,Fail
S1024,7.29,55.86,90.98,82.4,CSD,Pass
S1025,2.79,77.28,81.22,71.46,AIML,Fail
S1026,6.0,82.99,38.39,80.3,AIML,Pass
S1027,8.38,77.57,46.81,79.92,AIML,Pass
S1028,1.96,51.12,56.63,55.4,CSD,Fail
S1029,5.91,76.84,66.39,75.75,CSD,Pass
S1030,6.07,61.04,73.76,72.95,CSE,Fail
S1031,7.22,86.71,55.11,86.15,CSE,Pass
S1032,2.78,82.77,68.8,68.25,CSD,Fail
S1033,2.59,65.78,54.67,48.44,AIML,Fail
S1034,6.65,71.32,56.83,82.78,AIML,Pass
S1035,6.15,64.23,44.9,75.59,CSE,Pass
S1036,6.05,77.19,52.15,70.37,CSD,Fail
S1037,6.26,90.42,45.72,78.65,CSE,Pass
S1038,4.0,65.19,51.36,63.82,CSE,Fail
S1039,6.01,84.55,81.8,83.22,ISE,Pass
S1040,6.14,71.11,51.76,69.33,ISE,Fail
S1041,3.93,67.69,100.0,69.1,ISE,Fail
S1042,9.6,76.61,73.4,92.79,AIML,Pass
S1043,6.54,64.54,68.77,81.53,CSD,Pass
S1044,2.88,70.8,53.12,61.32,CSD,Fail
S1045,6.94,62.43,76.5,76.61,CSD,Pass
S1046,3.36,100.0,57.37,73.59,CSD,Pass
S1047,7.23,78.46,67.83,68.01,ISE,Fail
S1048,8.05,68.9,100.0,95.85,AIML,Pass
S1049,3.69,80.78,64.56,58.62,AIML,Fail
S1050,7.62,76.54,83.24,84.94,ISE,Pass
S1051,6.41,75.13,55.45,69.56,AIML,Fail
S1052,7.31,85.98,65.48,77.71,ISE,Pass
S1053,9.67,87.85,92.56,100.0,CSD,Pass
S1054,4.96,71.1,56.6,65.85,ISE,Fail
S1055,3.84,70.51,93.19,73.11,CSD,Pass
S1056,3.54,74.42,76.62,67.33,CSD,Fail
S1057,3.71,48.08,57.56,59.09,CSE,Fail
S1058,5.33,58.3,75.49,70.7,ISE,Fail
S1059,6.25,95.77,80.59,79.38,CSE,Pass
S1060,6.11,99.38,75.33,90.04,ISE,Pass
S1061,7.32,74.76,42.45,73.55,ISE,Pass
S1062,5.53,85.5,55.09,66.5,CSE,Fail
S1063,8.7,82.05,62.29,86.08,CSE,Pass
S1064,4.92,100.0,64.88,85.44,ISE,Pass
S1065,11.48,92.55,75.31,100.0,AIML,Pass
S1066,6.88,76.34,68.67,78.64,CSD,Pass
S1067,3.61,65.58,45.97,56.89,CSE,Fail
S1068,3.14,57.12,71.7,58.35,CSD,Fail
S1069,6.56,80.65,75.16,92.05,AIML,Pass
S1070,5.01,68.17,74.4,73.41,AIML,Pass
S1071,7.07,59.51,82.21,81.59,AIML,Pass
S1072,6.54,69.59,78.51,84.38,CSE,Pass
S1073,5.34,63.94,72.89,72.56,AIML,Fail
S1074,3.64,99.93,64.95,71.26,CSE,Fail
S1075,2.17,89.46,41.09,57.22,AIML,Fail
S1076,4.52,77.9,72.44,71.37,CSD,Fail
S1077,7.38,97.24,69.12,88.24,CSD,Pass
S1078,5.97,79.01,70.07,81.25,ISE,Pass
S1079,2.76,66.8,46.85,55.86,CSD,Fail
S1080,5.88,97.8,49.78,81.69,ISE,Pass
S1081,6.35,85.01,81.8,83.07,CSD,Pass
S1082,3.56,64.52,65.41,62.8,CSE,Fail
S1083,5.84,75.53,76.22,67.45,CSD,Fail
S1084,5.63,66.62,66.42,76.49,ISE,Pass
S1085,2.99,60.02,66.45,60.72,ISE,Fail
S1086,6.29,90.04,80.07,89.23,AIML,Pass
S1087,6.73,100.0,58.26,69.6,CSE,Fail
S1088,7.88,59.82,67.44,90.12,CSD,Pass
S1089,7.82,85.32,59.07,84.03,AIML,Pass
S1090,2.47,69.54,59.48,63.47,CSD,Fail
S1091,3.44,71.67,61.36,57.82,CSD,Fail
S1092,6.63,70.3,69.33,80.85,AIML,Pass
S1093,6.63,66.77,58.82,69.21,AIML,Fail
S1094,6.63,78.63,84.84,80.41,AIML,Pass
S1095,13.98,67.2,52.58,100.0,AIML,Pass
S1096,6.76,81.52,63.2,79.17,AIML,Pass
S1097,8.0,77.35,59.4,84.41,CSD,Pass
S1098,7.6,74.89,87.7,91.53,AIML,Pass
S1099,6.93,66.2,68.95,80.29,CSE,Pass
S1100,4.81,70.5,81.48,73.62,ISE,Pass
S1101,7.17,87.82,43.72,81.15,AIML,Pass
S1102,3.8,84.51,70.01,82.04,AIML,Pass
S1103,4.98,65.29,79.34,71.36,CSD,Fail
S1104,4.43,79.29,67.23,71.6,AIML,Fail
S1105,5.68,87.77,81.98,86.72,AIML,Pass
S1106,10.59,56.3,58.24,93.58,AIML,Pass
S1107,1.39,85.06,87.14,69.76,CSD,Fail
S1108,7.01,69.39,100.0,89.06,AIML,Pass
S1109,1.95,85.42,60.56,54.72,ISE,Fail
S1110,4.46,68.08,59.32,74.01,CSD,Pass
S1111,7.9,54.54,87.8,77.04,ISE,Pass
S1112,5.64,56.84,89.69,75.85,CSD,Pass
S1113,3.13,78.63,58.16,59.19,AIML,Fail
S1114,3.93,81.38,59.7,67.11,ISE,Fail
S1115,7.0,66.24,61.77,78.18,CSD,Pass
S1116,3.89,86.3,45.83,67.19,CSE,Fail
S1117,5.98,56.4,52.22,69.51,AIML,Fail
S1118,5.6,77.14,50.94,79.39,CSD,Pass
S1119,4.07,62.26,54.48,63.78,CSE,Fail
S1120,10.22,69.53,65.48,90.58,CSD,Pass
S1121,6.89,78.62,69.51,86.06,CSE,Pass
S1122,1.04,66.81,89.26,63.66,AIML,Fail
S1123,5.91,73.0,51.02,65.35,ISE,Fail
S1124,4.04,91.08,80.76,78.22,CSE,Pass
S1125,7.38,70.5,62.79,83.06,CSD,Pass
S1126,3.76,88.86,65.26,68.54,AIML,Fail
S1127,5.25,63.31,76.12,78.4,CSE,Pass
S1128,6.61,84.89,49.16,76.6,CSD,Pass
S1129,7.4,96.74,71.74,89.58,CSD,Pass
S1130,2.86,45.87,68.5,54.06,CSD,Fail
S1131,4.76,67.64,73.39,70.15,CSE,Fail
S1132,4.46,85.5,70.34,67.67,CSE,Fail
S1133,4.06,75.36,100.0,67.95,CSE,Fail
S1134,9.38,82.82,56.43,97.97,ISE,Pass
S1135,6.39,70.15,58.04,70.01,CSE,Fail
S1136,2.73,79.13,56.65,56.13,CSE,Fail
S1137,7.52,75.98,57.67,69.78,CSE,Fail
S1138,10.17,93.18,56.44,93.03,ISE,Pass
S1139,7.77,81.31,83.84,82.23,CSE,Pass
S1140,2.16,82.39,87.31,74.56,CSD,Pass
S1141,4.43,72.65,57.44,71.63,CSE,Fail
S1142,8.29,71.66,53.51,78.21,CSD,Pass
S1143,3.94,72.38,73.07,79.15,CSD,Pass
S1144,6.48,83.13,57.72,83.1,CSD,Pass
S1145,7.2,72.53,75.49,80.53,ISE,Pass
S1146,3.46,81.77,69.04,55.12,ISE,Fail
S1147,5.37,100.0,43.26,86.53,ISE,Pass
S1148,0.3,89.32,89.21,53.95,CSE,Fail
S1149,3.25,73.76,92.94,61.52,CSD,Fail
S1150,4.94,93.62,56.81,79.57,ISE,Pass
S1151,2.75,72.7,60.18,72.34,ISE,Fail
S1152,9.09,51.5,70.29,89.98,CSE,Pass
S1153,2.35,64.89,71.02,61.48,ISE,Fail
S1154,4.53,53.68,75.88,68.72,CSE,Fail
S1155,5.79,73.43,96.15,85.3,AIML,Pass
S1156,8.67,78.24,63.35,91.05,ISE,Pass
S1157,2.34,99.79,54.03,66.06,AIML,Fail
S1158,8.06,82.25,45.31,82.37,CSE,Pass
S1159,5.52,75.15,55.04,71.02,CSD,Fail
S1160,3.34,88.78,65.5,64.53,ISE,Fail
S1161,6.52,49.26,92.92,75.22,CSE,Pass
S1162,5.94,81.06,58.24,66.99,CSD,Fail
